,Filename,ContaminationFraction,NumLearners,NumObservationsPerLearner,Parameter_Iteration,F1_Median,F1_Range,ARI_Median
303,analcatdata_apnea3,0.2,100,auto,0,0.21108840393323147,0.062227998426116864,0.7054395813939718
304,analcatdata_apnea3,0.25,100,auto,0,0.20515835798282947,0.028571428571428803,0.736849593316864
305,analcatdata_apnea3,LOF,100,auto,0,0.0,0.0,1.0
306,analcatdata_apnea3,IF,100,auto,0,0.05298507462686565,0.22654462242562945,0.6546564896836864
307,analcatdata_apnea3,0,1,auto,0,0.0,0.0,1.0
308,analcatdata_apnea3,0,2,auto,0,0.0,0.0,1.0
309,analcatdata_apnea3,0,4,auto,0,0.0,0.0,1.0
310,analcatdata_apnea3,0,8,auto,0,0.0,0.0,1.0
311,analcatdata_apnea3,0,16,auto,0,0.0,0.0,1.0
312,analcatdata_apnea3,0,32,auto,0,0.0,0.0,1.0
313,analcatdata_apnea3,0,64,auto,0,0.0,0.0,1.0
314,analcatdata_apnea3,0,128,auto,0,0.0,0.0,1.0
315,analcatdata_apnea3,0,256,auto,0,0.0,0.0,1.0
316,analcatdata_apnea3,0,512,auto,0,0.0,0.0,1.0
317,analcatdata_apnea3,0,100,0.05,0,0.0,0.0,1.0
318,analcatdata_apnea3,0,100,0.1,0,0.0,0.0,1.0
319,analcatdata_apnea3,0,100,0.2,0,0.0,0.0,1.0
320,analcatdata_apnea3,0,100,0.5,0,0.0,0.0,1.0
321,analcatdata_apnea3,0,100,1,0,0.0,0.0,1.0
322,analcatdata_challenger,0,100,auto,0,0.0,0.0,1.0
323,analcatdata_challenger,0.05,100,auto,0,0.2666666666666666,0.0,1.0
324,analcatdata_challenger,0.1,100,auto,0,0.1980952380952381,0.0,0.6582215652293094
325,analcatdata_challenger,0.15,100,auto,0,0.1481481481481481,0.0,0.6692354921766686
326,analcatdata_challenger,0.2,100,auto,0,0.12121212121212119,0.0,0.8530950533994656
327,analcatdata_challenger,0.25,100,auto,0,0.10442890442890437,0.0,0.7414238426441568
328,analcatdata_challenger,LOF,100,auto,0,0.1481481481481481,0.0,0.6308303243597361
329,analcatdata_challenger,IF,100,auto,0,0.13457172342621254,0.0,0.8047118367245862
330,analcatdata_challenger,0,1,auto,0,0.0,0.0,1.0
331,analcatdata_challenger,0,2,auto,0,0.0,0.0,1.0
332,analcatdata_challenger,0,4,auto,0,0.0,0.0,1.0
333,analcatdata_challenger,0,8,auto,0,0.0,0.0,1.0
334,analcatdata_challenger,0,16,auto,0,0.0,0.0,1.0
335,analcatdata_challenger,0,32,auto,0,0.0,0.0,1.0
336,analcatdata_challenger,0,64,auto,0,0.0,0.0,1.0
337,analcatdata_challenger,0,128,auto,0,0.0,0.0,1.0
338,analcatdata_challenger,0,256,auto,0,0.0,0.0,1.0
339,analcatdata_challenger,0,512,auto,0,0.0,0.0,1.0
340,analcatdata_challenger,0,100,0.05,0,0.0,0.0,1.0
341,analcatdata_challenger,0,100,0.1,0,0.0,0.0,1.0
342,analcatdata_challenger,0,100,0.2,0,0.0,0.0,1.0
343,analcatdata_challenger,0,100,0.5,0,0.0,0.0,1.0
344,analcatdata_challenger,0,100,1,0,0.0,0.0,1.0
345,analcatdata_chlamydia,0,100,auto,0,0.0,0.0,1.0
346,analcatdata_chlamydia,0.05,100,auto,0,0.0,0.0,0.5819514066558608
347,analcatdata_chlamydia,0.1,100,auto,0,0.013793103448275858,0.0,0.7649108367626885
348,analcatdata_chlamydia,0.15,100,auto,0,0.03529411764705882,1.0,0.6574740220569564
349,analcatdata_chlamydia,0.2,100,auto,0,0.036302294197031,1.0,0.6801151204336588
350,analcatdata_chlamydia,0.25,100,auto,0,0.11004731702406116,0.19999999999999984,0.7618748059548297
351,analcatdata_chlamydia,LOF,100,auto,0,0.0,0.0,1.0
352,analcatdata_chlamydia,IF,100,auto,0,0.0,0.0,0.08170594837261505
353,analcatdata_chlamydia,0,1,auto,0,0.0,0.0,1.0
354,analcatdata_chlamydia,0,2,auto,0,0.0,0.0,1.0
355,analcatdata_chlamydia,0,4,auto,0,0.0,0.0,1.0
356,analcatdata_chlamydia,0,8,auto,0,0.0,0.0,1.0
357,analcatdata_chlamydia,0,16,auto,0,0.0,0.0,1.0
358,analcatdata_chlamydia,0,32,auto,0,0.0,0.0,1.0
359,analcatdata_chlamydia,0,64,auto,0,0.0,0.0,1.0
360,analcatdata_chlamydia,0,128,auto,0,0.0,0.0,1.0
361,analcatdata_chlamydia,0,256,auto,0,0.0,0.0,1.0
362,analcatdata_chlamydia,0,512,auto,0,0.0,0.0,1.0
363,analcatdata_chlamydia,0,100,0.05,0,0.0,0.0,1.0
364,analcatdata_chlamydia,0,100,0.1,0,0.0,0.0,1.0
365,analcatdata_chlamydia,0,100,0.2,0,0.0,0.0,1.0
366,analcatdata_chlamydia,0,100,0.5,0,0.0,0.0,1.0
367,analcatdata_chlamydia,0,100,1,0,0.0,0.0,1.0
368,analcatdata_lawsuit,0,100,auto,0,0.0,0.0,1.0
369,analcatdata_lawsuit,0.05,100,auto,0,0.2508064516129032,0.0,0.8725952147697283
370,analcatdata_lawsuit,0.1,100,auto,0,0.30292929292929294,0.08531831961888275,0.7838955753328608
371,analcatdata_lawsuit,0.15,100,auto,0,0.2813559322033897,0.05882352941176456,0.8497274144166131
372,analcatdata_lawsuit,0.2,100,auto,0,0.28963223787167447,0.04761904761904784,0.8211616394478115
373,analcatdata_lawsuit,0.25,100,auto,0,0.2809803921568627,0.0059171597633135885,0.8446539404566125
374,analcatdata_lawsuit,LOF,100,auto,0,0.26537634408602156,0.08918406072106252,0.8263486330213569
375,analcatdata_lawsuit,IF,100,auto,0,0.25120883304778224,0.0,0.8934949157433761
