,Filename,ContaminationFraction,KernelScale,Lambda,NumExpansionDimensions,StandardizeData,BetaTolerance,GradientTolerance,IterationLimit,Parameter_Iteration,F1_Median,F1_Range,ARI_Median
228,PieChart1,0,1,0.1,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
229,PieChart1,0,1,0.2,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
230,PieChart1,0,1,0.5,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
231,PieChart1,0,1,1,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
232,PieChart1,0,1,2,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
233,PieChart1,0,1,5,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
234,PieChart1,0,1,auto,auto,1,0.0001,0.0001,1000,8,0.0,0.0,1.0
235,PieChart1,0,1,auto,auto,0,0.01,0.0001,1000,8,0.0,0.0,1.0
236,PieChart1,0,1,auto,auto,0,0.001,0.0001,1000,8,0.0,0.0,1.0
237,PieChart1,0,1,auto,auto,0,1e-05,0.0001,1000,8,0.0,0.0,1.0
238,PieChart1,0,1,auto,auto,0,0.0001,0.001,1000,8,0.0,0.0,1.0
239,PieChart1,0,1,auto,auto,0,0.0001,1e-05,1000,8,0.0,0.0,1.0
240,PieChart1,0,1,auto,auto,0,0.0001,1e-06,1000,8,0.0,0.0,1.0
241,PieChart1,0,1,auto,auto,0,0.0001,0.0001,100,8,0.0,0.0,1.0
242,PieChart1,0,1,auto,auto,0,0.0001,0.0001,200,8,0.0,0.0,1.0
243,PieChart1,0,1,auto,auto,0,0.0001,0.0001,500,8,0.0,0.0,1.0
244,PieChart1,0,1,auto,auto,0,0.0001,0.0001,2000,8,0.0,0.0,1.0
245,PieChart2,0,1,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
246,PieChart2,0.05,1,auto,auto,0,0.0001,0.0001,1000,8,0.04150943396226411,0.7500000000000002,-0.007788270322635465
247,PieChart2,0.1,1,auto,auto,0,0.0001,0.0001,1000,8,0.026666666666666637,1.0,-0.010346433751051825
248,PieChart2,0.15,1,auto,auto,0,0.0001,0.0001,1000,8,0.0265625,0.3333333333333333,-0.0021165742055993912
249,PieChart2,0.2,1,auto,auto,0,0.0001,0.0001,1000,8,0.032727272727272674,0.19999999999999998,-0.0013662810642391463
250,PieChart2,0.25,1,auto,auto,0,0.0001,0.0001,1000,8,0.03267326732673266,0.10344827586206887,0.005880556591542573
251,PieChart2,LOF,1,auto,auto,0,0.0001,0.0001,1000,8,0.05599999999999997,1.0,-0.006074664795328811
252,PieChart2,IF,1,auto,auto,0,0.0001,0.0001,1000,8,0.0405405405405405,0.3333333333333333,-0.00038163355799564837
253,PieChart2,0,auto,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
254,PieChart2,0,0.01,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
255,PieChart2,0,0.05,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
256,PieChart2,0,0.1,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
257,PieChart2,0,0.2,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
